,uuid,entity_def_id,deleted_at
86,0a2b192c-95b8-729f-450c-d0d624463df8,job,2017-12-22 15:20:57+00:00
87,6c4ccd90-0644-09e6-2dca-306125245a0e,job,2017-12-22 15:42:58+00:00
88,68feb150-85ca-417f-9b56-bc3f3b62a874,job,2017-12-22 16:34:59+00:00
89,6f4d6aa2-1d00-20a9-fd75-49ff1c715fc1,job,2017-12-22 16:42:39+00:00
90,128f35cb-7935-4a18-a225-25215b0e295f,press_reference,2017-12-22 16:45:15+00:00
91,24c6d171-4fb4-4a8a-a744-858fcefb1732,acquisition,2017-12-22 16:45:15+00:00
92,1d8c4dbe-fc69-a614-32bf-35f9b1e37d24,job,2017-12-22 17:05:25+00:00
93,c3a38e34-29c5-5325-0c69-4579488f25f6,job,2017-12-22 17:07:20+00:00
94,d1641be0-5793-4c52-96df-7084446fb580,press_reference,2017-12-22 17:12:16+00:00
95,fdd874e6-7c8a-7b7d-2eeb-eca50715cbcc,job,2017-12-22 17:22:08+00:00
96,af4dfd54-e514-c39d-82e3-bd6a9a10f12d,job,2017-12-22 17:37:51+00:00
97,87c85d77-1a14-ef1f-641b-58a5f1de6a4c,press_reference,2017-12-22 17:40:55+00:00
98,d376d81a-1e72-4360-9248-a4d1745aa1e6,job,2017-12-22 18:07:33+00:00
99,74bbbd5b-69fc-44c8-8de0-e2733f20c833,press_reference,2017-12-22 18:09:43+00:00
100,4fce0896-9882-4265-810c-a711ff655cf3,organization,2017-12-22 18:09:49+00:00
101,86c6b5ec-41f9-4179-b1ef-790b86cfc3fc,organization,2017-12-22 18:10:42+00:00
102,23fe4a90-973c-4569-bc0f-b7b426fd8848,job,2017-12-22 18:10:44+00:00
103,7e90206a-842c-4305-9d56-4f7756f1096b,organization,2017-12-22 18:10:55+00:00
104,4279f742-8190-4208-b470-ff1aeb95fefe,organization,2017-12-22 18:12:12+00:00
105,405e4e9f-6429-43fa-bb2e-d412e684e827,organization,2017-12-22 18:12:36+00:00
106,2eddf4ff-97d0-4b4a-bd1d-3377928c5ee6,organization,2017-12-22 18:12:48+00:00
107,059f786c-6985-4233-ad16-4d453d96e9d4,organization,2017-12-22 18:17:00+00:00
108,e9050b84-7cb9-4fe2-9425-e7a381c13bc3,organization,2017-12-22 18:17:30+00:00
109,677e5695-b05e-4729-ab2b-3cb2faa7d5ba,organization,2017-12-22 18:18:11+00:00
110,1dee3008-e399-449e-93e1-dd82bc1230b7,organization,2017-12-22 18:18:55+00:00
111,d4de59bd-c18e-4d67-b459-a194b453fa34,event_appearance,2017-12-22 18:18:55+00:00
112,063f027b-48a5-4a69-b6c8-f4a8d30450f2,organization,2017-12-22 18:19:45+00:00
113,33d47960-9684-4c5c-ba96-1069d3c82216,organization,2017-12-22 18:19:59+00:00
114,fe2a419b-bced-4ebb-ba87-72d4ff0aec6c,organization,2017-12-22 18:20:11+00:00
115,d2d41cb8-cd4e-4898-a2de-df263ac2448e,organization,2017-12-22 18:20:22+00:00
116,9f470093-93db-4e78-a27b-bf02b9fac3b9,organization,2017-12-22 18:20:32+00:00
117,85ecbeaf-2c71-491d-a98d-404331a10df3,organization,2017-12-22 18:20:42+00:00
118,77afa94d-bca5-4285-abad-143dcc10871b,organization,2017-12-22 18:21:45+00:00
119,2d6c1c97-6308-49d3-9750-e0e001b4fa34,organization,2017-12-22 18:22:02+00:00
120,c72cd87f-901c-486d-9052-e6fcd5df073b,organization,2017-12-22 18:22:49+00:00
121,3367075a-bc03-4b2c-874b-90e3d6483356,organization,2017-12-22 18:23:40+00:00
122,ca611186-a06b-4ad5-994b-8bf8f8341bea,organization,2017-12-22 18:24:13+00:00
123,49b49d5d-281d-4e81-8ad5-c41a793b36aa,organization,2017-12-22 18:25:34+00:00
124,de8c7b49-834b-4015-83a2-14e685311155,organization,2017-12-22 18:25:50+00:00
125,c1a82074-9431-4456-8db0-006e77960aa2,organization,2017-12-22 18:26:02+00:00
126,bed73f0b-5ebd-4ad9-9d94-44000bd00d4d,organization,2017-12-22 18:26:11+00:00
127,11434ab0-0fb6-7d15-da18-85b3dacefad2,acquisition,2017-12-22 18:28:09+00:00
128,e4077fd0-b208-88ab-d192-836333ea4e32,press_reference,2017-12-22 18:28:09+00:00
129,73d60e90-8644-3e63-dd6e-ec172ced42b3,organization,2017-12-22 18:28:25+00:00
130,98c8d06e-44dd-74c1-d9ce-d67d65cb21d1,organization,2017-12-22 18:28:40+00:00
